# material: Micrometer_Test,,,,,
# geometry:,,,,,
# preform_diameter:,,,,,
# material_color:,,,,,
# temperature_C:,,,,,
# drawdown_ratio:,,,,,
# trial_number: 001,,,,,
# operator:Luka Morita,,,,,
# start_time: 2025-06-20 15:48:14,,,,,
# notes: Testing analog micrometer noise with known diameter (1.75mm filament),,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um),
0.2,0.5,1.26,1749.76,399.25,1750.666007
0.4,0.51,1.28,1759.53,400.81,1.76
0.6,0.51,1.22,1749.76,409.52,0.100533168
0.8,0.5,1.25,1749.76,401.39,
1,0.52,1.29,1739.98,402.32,
1.2,0.51,1.22,1749.76,409.52,
1.4,0.51,1.23,1779.08,407.29,
1.6,0.52,1.26,1749.76,406.58,
1.8,0.52,1.25,1769.31,408.76,
2,0.51,1.26,1769.31,402.93,
2.2,0.5,1.28,1739.98,397.15,
2.4,0.5,1.25,1749.76,401.39,
2.6,0.5,1.28,1720.43,397.15,
2.8,0.51,1.23,1749.76,407.29,
3,0.51,1.28,1749.76,400.81,
3.2,0.52,1.26,1769.31,406.58,
3.4,0.52,1.26,1749.76,406.58,
3.6,0.51,1.22,1759.53,409.52,
3.8,0.5,1.25,1769.31,401.39,
4,0.51,1.29,1769.31,398.71,
4.2,0.51,1.26,1769.31,402.93,
4.4,0.52,1.28,1769.31,404.43,
4.6,0.51,1.26,1769.31,402.93,
4.8,0.52,1.25,1759.53,408.76,
5,0.51,1.23,1759.53,407.29,
5.2,0.5,1.23,1749.76,403.57,
5.4,0.5,1.25,1769.31,401.39,
5.6,0.51,1.26,1779.08,402.93,
5.8,0.54,1.25,1769.31,416,
6,0.51,1.28,1739.98,400.81,
6.2,0.52,1.25,1769.31,408.76,
6.4,0.51,1.25,1779.08,405.09,
6.6,0.5,1.28,1779.08,397.15,
6.8,0.51,1.23,1759.53,407.29,
7,0.51,1.25,1739.98,405.09,
7.2,0.5,1.28,1739.98,397.15,
7.4,0.49,1.28,1720.43,393.45,
7.6,0.5,1.25,1739.98,401.39,
7.8,0.53,1.26,1749.76,410.19,
8,0.51,1.28,1779.08,400.81,
8.2,0.51,1.25,1769.31,405.09,
8.4,0.51,1.28,1749.76,400.81,
8.6,0.5,1.28,1759.53,397.15,
8.8,0.51,1.28,1759.53,400.81,
9,0.5,1.21,1759.53,408.03,
9.2,0.5,1.29,1759.53,395.07,
9.4,0.5,1.23,1759.53,403.57,
9.6,0.51,1.26,1749.76,402.93,
9.8,0.52,1.18,1749.76,420.21,
10,0.51,1.25,1759.53,405.09,
10.2,0.5,1.25,1749.76,401.39,
10.4,0.5,1.28,1749.76,397.15,
10.6,0.51,1.23,1769.31,407.29,
10.8,0.49,1.22,1769.31,402.01,
11,0.5,1.28,1759.53,397.15,
11.2,0.51,1.26,1749.76,402.93,
11.4,0.5,1.28,1759.53,397.15,
11.6,0.5,1.26,1759.53,399.25,
11.8,0.52,1.25,1769.31,408.76,
12,0.5,1.26,1749.76,399.25,
12.2,0.53,1.25,1749.76,412.39,
12.4,0.51,1.25,1739.98,405.09,
12.6,0.51,1.25,1749.76,405.09,
12.8,0.52,1.29,1749.76,402.32,
13,0.5,1.28,1769.31,397.15,
13.2,0.51,1.26,1769.31,402.93,
13.4,0.53,1.26,1749.76,410.19,
13.6,0.51,1.25,1749.76,405.09,
13.8,0.51,1.28,1749.76,400.81,
14,0.5,1.25,1749.76,401.39,
14.2,0.5,1.25,1759.53,401.39,
14.4,0.51,1.25,1769.31,405.09,
14.6,0.52,1.25,1769.31,408.76,
14.8,0.5,1.22,1759.53,405.78,
15,0.52,1.18,1759.53,420.21,
15.2,0.52,1.26,1759.53,406.58,
15.4,0.49,1.29,1769.31,391.4,
15.6,0.52,1.29,1759.53,402.32,
15.8,0.49,1.25,1749.76,397.66,
16,0.52,1.25,1779.08,408.76,
16.2,0.51,1.28,1779.08,400.81,
16.4,0.51,1.25,1749.76,405.09,
16.6,0.5,1.3,1749.76,393.03,
16.8,0.5,1.25,1739.98,401.39,
17,0.51,1.23,1739.98,407.29,
17.2,0.5,1.28,1739.98,397.15,
17.4,0.5,1.26,1749.76,399.25,
17.6,0.5,1.26,1769.31,399.25,
17.8,0.52,1.26,1739.98,406.58,
18,0.51,1.28,1769.31,400.81,
18.2,0.51,1.3,1739.98,396.65,
18.4,0.52,1.25,1769.31,408.76,
18.6,0.51,1.26,1730.21,402.93,
18.8,0.5,1.29,1749.76,395.07,
19,0.5,1.21,1749.76,408.03,
19.2,0.51,1.26,1769.31,402.93,
19.4,0.52,1.23,1769.31,410.98,
19.6,0.51,1.26,1739.98,402.93,
19.8,0.52,1.23,1769.31,410.98,
20,0.5,1.26,1730.21,399.25,
20.2,0.52,1.25,1749.76,408.76,
20.4,0.5,1.28,1769.31,397.15,
20.6,0.51,1.3,1759.53,396.65,
20.8,0.53,1.28,1769.31,408.03,
21,0.51,1.28,1749.76,400.81,
21.2,0.52,1.28,1769.31,404.43,
21.4,0.53,1.25,1759.53,412.39,
21.6,0.51,1.28,1749.76,400.81,
21.8,0.5,1.25,1779.08,401.39,
22,0.5,1.25,1739.98,401.39,
22.2,0.5,1.26,1749.76,399.25,
22.4,0.5,1.28,1788.86,397.15,
22.6,0.49,1.26,1739.98,395.54,
22.8,0.5,1.28,1759.53,397.15,
23,0.51,1.25,1749.76,405.09,
23.2,0.51,1.26,1759.53,402.93,
23.4,0.51,1.29,1749.76,398.71,
23.6,0.5,1.25,1739.98,401.39,
23.8,0.51,1.19,1759.53,414.1,
24,0.51,1.36,1759.53,388.72,
24.2,0.51,1.26,1749.76,402.93,
24.4,0.51,1.25,1759.53,405.09,
24.6,0.51,1.23,1739.98,407.29,
24.8,0.51,1.22,1749.76,409.52,
25,0.51,1.28,1749.76,400.81,
25.2,0.5,1.21,1759.53,408.03,
25.4,0.5,1.25,1759.53,401.39,
25.6,0.51,1.26,1759.53,402.93,
25.8,0.52,1.25,1739.98,408.76,
26,0.49,1.26,1739.98,395.54,
26.2,0.5,1.23,1749.76,403.57,
26.4,0.5,1.22,1749.76,405.78,
26.6,0.52,1.26,1769.31,406.58,
26.8,0.5,1.26,1759.53,399.25,
27,0.51,1.32,1759.53,394.62,
27.2,0.51,1.25,1749.76,405.09,
27.4,0.5,1.28,1769.31,397.15,
27.6,0.5,1.28,1720.43,397.15,
27.8,0.51,1.26,1759.53,402.93,
28,0.49,1.25,1730.21,397.66,
28.2,0.48,1.28,1739.98,389.72,
28.4,0.51,1.28,1759.53,400.81,
28.6,0.49,1.23,1749.76,399.82,
28.8,0.5,1.29,1720.43,395.07,
29,0.5,1.26,1759.53,399.25,
29.2,0.51,1.19,1749.76,414.1,
29.4,0.53,1.23,1749.76,414.63,
29.6,0.51,1.22,1749.76,409.52,
29.8,0.51,1.26,1769.31,402.93,
30,0.5,1.29,1769.31,395.07,
30.2,0.5,1.32,1749.76,391.02,
30.4,0.49,1.28,1759.53,393.45,
30.6,0.52,1.22,1749.76,413.23,
30.8,0.51,1.21,1749.76,411.79,
31,0.5,1.22,1739.98,405.78,
31.2,0.52,1.26,1749.76,406.58,
31.4,0.51,1.21,1749.76,411.79,
31.6,0.52,1.26,1759.53,406.58,
31.8,0.51,1.29,1769.31,398.71,
32,0.5,1.28,1759.53,397.15,
32.2,0.52,1.28,1759.53,404.43,
32.4,0.51,1.22,1759.53,409.52,
32.6,0.53,1.26,1769.31,410.19,
32.8,0.51,1.28,1749.76,400.81,
33,0.51,1.25,1739.98,405.09,
33.2,0.51,1.22,1739.98,409.52,
33.4,0.48,1.21,1739.98,400.4,
33.6,0.5,1.26,1739.98,399.25,
33.8,0.5,1.22,1759.53,405.78,
34,0.5,1.25,1749.76,401.39,
34.2,0.52,1.25,1739.98,408.76,
34.4,0.5,1.18,1749.76,412.64,
34.6,0.51,1.3,1739.98,396.65,
34.8,0.53,1.23,1769.31,414.63,
35,0.52,1.26,1759.53,406.58,
35.2,0.5,1.28,1769.31,397.15,
35.4,0.5,1.25,1798.63,401.39,
35.6,0.52,1.26,1759.53,406.58,
35.8,0.5,1.28,1759.53,397.15,
36,0.5,1.25,1749.76,401.39,
36.2,0.51,1.29,1759.53,398.71,
36.4,0.51,1.23,1779.08,407.29,
36.6,0.52,1.25,1749.76,408.76,
36.8,0.51,1.25,1720.43,405.09,
37,0.48,1.23,1749.76,396.03,
37.2,0.51,1.26,1749.76,402.93,
37.4,0.51,1.21,1769.31,411.79,
37.6,0.52,1.26,1759.53,406.58,
37.8,0.5,1.28,1749.76,397.15,
38,0.51,1.33,1749.76,392.63,
38.2,0.52,1.26,1759.53,406.58,
38.4,0.5,1.26,1749.76,399.25,
38.6,0.5,1.28,1730.21,397.15,
38.8,0.51,1.29,1749.76,398.71,
39,0.52,1.25,1769.31,408.76,
39.2,0.51,1.22,1739.98,409.52,
39.4,0.52,1.3,1739.98,400.24,
39.6,0.5,1.25,1739.98,401.39,
39.8,0.49,1.28,1749.76,393.45,
40,0.52,1.29,1759.53,402.32,
40.2,0.52,1.25,1749.76,408.76,
40.4,0.51,1.26,1759.53,402.93,
40.6,0.48,1.26,1759.53,391.79,
40.8,0.53,1.26,1749.76,410.19,
41,0.51,1.28,1749.76,400.81,
41.2,0.51,1.3,1749.76,396.65,
41.4,0.51,1.28,1779.08,400.81,
41.6,0.5,1.25,1749.76,401.39,
41.8,0.52,1.26,1749.76,406.58,
42,0.5,1.25,1749.76,401.39,
42.2,0.51,1.22,1759.53,409.52,
42.4,0.48,1.17,1759.53,407.25,
42.6,0.52,1.25,1759.53,408.76,
42.8,0.51,1.25,1759.53,405.09,
43,0.52,1.28,1749.76,404.43,
43.2,0.51,1.23,1759.53,407.29,
43.4,0.51,1.21,1759.53,411.79,
43.6,0.51,1.26,1739.98,402.93,
43.8,0.5,1.28,1739.98,397.15,
44,0.51,1.26,1759.53,402.93,
44.2,0.5,1.25,1759.53,401.39,
44.4,0.5,1.19,1739.98,410.32,
44.6,0.51,1.23,1749.76,407.29,
44.8,0.51,1.23,1749.76,407.29,
45,0.51,1.25,1739.98,405.09,
45.2,0.5,1.25,1730.21,401.39,
45.4,0.5,1.25,1749.76,401.39,
45.6,0.49,1.21,1759.53,404.23,
45.8,0.51,1.26,1759.53,402.93,
46,0.51,1.26,1779.08,402.93,
46.2,0.51,1.26,1749.76,402.93,
46.4,0.51,1.29,1759.53,398.71,
46.6,0.53,1.26,1749.76,410.19,
46.8,0.51,1.23,1749.76,407.29,
47,0.52,1.26,1769.31,406.58,
47.2,0.51,1.25,1759.53,405.09,
47.4,0.48,1.21,1759.53,400.4,
47.6,0.5,1.25,1769.31,401.39,
47.8,0.52,1.25,1769.31,408.76,
48,0.5,1.25,1739.98,401.39,
48.2,0.48,1.28,1749.76,389.72,
48.4,0.5,1.29,1759.53,395.07,
48.6,0.52,1.21,1769.31,415.52,
48.8,0.53,1.23,1759.53,414.63,
49,0.51,1.26,1759.53,402.93,
49.2,0.52,1.22,1759.53,413.23,
49.4,0.51,1.28,1749.76,400.81,
49.6,0.5,1.26,1779.08,399.25,
49.8,0.5,1.26,1749.76,399.25,
50,0.5,1.22,1769.31,405.78,
50.2,0.5,1.26,1759.53,399.25,
50.4,0.5,1.17,1749.76,415,
50.6,0.52,1.26,1759.53,406.58,
50.8,0.51,1.26,1759.53,402.93,
51,0.52,1.28,1759.53,404.43,
51.2,0.53,1.28,1749.76,408.03,
51.4,0.51,1.29,1739.98,398.71,
51.6,0.52,1.26,1759.53,406.58,
51.8,0.51,1.19,1759.53,414.1,
52,0.5,1.21,1749.76,408.03,
52.2,0.52,1.29,1759.53,402.32,
52.4,0.52,1.25,1779.08,408.76,
52.6,0.51,1.23,1759.53,407.29,
52.8,0.51,1.28,1749.76,400.81,
53,0.52,1.26,1749.76,406.58,
53.2,0.51,1.23,1749.76,407.29,
53.4,0.51,1.29,1739.98,398.71,
53.6,0.51,1.28,1739.98,400.81,
53.8,0.51,1.32,1749.76,394.62,
54,0.52,1.23,1749.76,410.98,
54.2,0.5,1.26,1730.21,399.25,
54.4,0.49,1.28,1739.98,393.45,
54.6,0.5,1.29,1749.76,395.07,
54.8,0.52,1.29,1739.98,402.32,
55,0.52,1.26,1739.98,406.58,
55.2,0.51,1.28,1769.31,400.81,
55.4,0.52,1.23,1749.76,410.98,
55.6,0.51,1.28,1759.53,400.81,
55.8,0.51,1.26,1749.76,402.93,
56,0.5,1.25,1759.53,401.39,
56.2,0.53,1.22,1759.53,416.9,
56.4,0.5,1.25,1769.31,401.39,
56.6,0.49,1.19,1749.76,406.5,
56.8,0.51,1.23,1769.31,407.29,
57,0.51,1.29,1759.53,398.71,
57.2,0.5,1.25,1749.76,401.39,
57.4,0.54,1.3,1749.76,407.33,
57.6,0.53,1.26,1739.98,410.19,
57.8,0.51,1.25,1749.76,405.09,
58,0.51,1.33,1749.76,392.63,
58.2,0.52,1.28,1779.08,404.43,
58.4,0.5,1.32,1759.53,391.02,
58.6,0.51,1.26,1749.76,402.93,
58.8,0.51,1.26,1749.76,402.93,
59,0.52,1.23,1720.43,410.98,
59.2,0.5,1.26,1759.53,399.25,
59.4,0.5,1.28,1759.53,397.15,
59.6,0.5,1.28,1759.53,397.15,
59.8,0.52,1.25,1749.76,408.76,
60,0.5,1.25,1730.21,401.39,
60.2,0.5,1.23,1749.76,403.57,
60.4,0.51,1.26,1739.98,402.93,
60.6,0.51,1.23,1759.53,407.29,
60.8,0.51,1.25,1749.76,405.09,
61,0.52,1.22,1769.31,413.23,
61.2,0.51,1.28,1739.98,400.81,
61.4,0.52,1.28,1749.76,404.43,
61.6,0.5,1.26,1739.98,399.25,
61.8,0.5,1.23,1749.76,403.57,
62,0.5,1.23,1779.08,403.57,
62.2,0.52,1.25,1759.53,408.76,
62.4,0.52,1.26,1759.53,406.58,
62.6,0.51,1.28,1749.76,400.81,
62.8,0.52,1.25,1759.53,408.76,
63,0.51,1.25,1749.76,405.09,
63.2,0.51,1.3,1749.76,396.65,
63.4,0.53,1.25,1769.31,412.39,
63.6,0.51,1.25,1759.53,405.09,
63.8,0.5,1.28,1730.21,397.15,
64,0.54,1.26,1749.76,413.78,
64.2,0.5,1.26,1759.53,399.25,
64.4,0.49,1.26,1749.76,395.54,
64.6,0.5,1.25,1759.53,401.39,
64.8,0.51,1.26,1759.53,402.93,
65,0.5,1.23,1739.98,403.57,
65.2,0.52,1.28,1730.21,404.43,
65.4,0.51,1.34,1749.76,390.66,
65.6,0.51,1.19,1769.31,414.1,
65.8,0.51,1.29,1759.53,398.71,
66,0.5,1.23,1759.53,403.57,
66.2,0.51,1.29,1749.76,398.71,
66.4,0.51,1.25,1759.53,405.09,
66.6,0.51,1.26,1739.98,402.93,
66.8,0.51,1.26,1730.21,402.93,
67,0.51,1.32,1749.76,394.62,
67.2,0.49,1.25,1749.76,397.66,
67.4,0.51,1.25,1759.53,405.09,
67.6,0.52,1.25,1769.31,408.76,
67.8,0.5,1.3,1749.76,393.03,
68,0.51,1.23,1739.98,407.29,
68.2,0.52,1.22,1739.98,413.23,
68.4,0.51,1.26,1759.53,402.93,
68.6,0.52,1.26,1769.31,406.58,
68.8,0.51,1.29,1739.98,398.71,
69,0.52,1.26,1749.76,406.58,
69.2,0.52,1.22,1739.98,413.23,
69.4,0.51,1.23,1759.53,407.29,
69.6,0.51,1.28,1710.65,400.81,
69.8,0.51,1.23,1739.98,407.29,
70,0.49,1.26,1749.76,395.54,
70.2,0.51,1.28,1759.53,400.81,
70.4,0.49,1.28,1739.98,393.45,
70.6,0.51,1.29,1739.98,398.71,
70.8,0.52,1.25,1759.53,408.76,
71,0.51,1.29,1739.98,398.71,
71.2,0.5,1.21,1739.98,408.03,
71.4,0.5,1.33,1749.76,389.04,
71.6,0.51,1.26,1759.53,402.93,
71.8,0.52,1.26,1769.31,406.58,
72,0.5,1.28,1739.98,397.15,
72.2,0.51,1.28,1749.76,400.81,
72.4,0.49,1.26,1759.53,395.54,
72.6,0.51,1.26,1739.98,402.93,
72.8,0.5,1.22,1749.76,405.78,
73,0.52,1.22,1749.76,413.23,
73.2,0.5,1.28,1759.53,397.15,
73.4,0.5,1.28,1759.53,397.15,
73.6,0.52,1.18,1759.53,420.21,
73.8,0.52,1.25,1779.08,408.76,
74,0.49,1.22,1749.76,402.01,
74.2,0.51,1.25,1759.53,405.09,
74.4,0.52,1.26,1769.31,406.58,
74.6,0.51,1.28,1759.53,400.81,
74.8,0.51,1.26,1739.98,402.93,
75,0.51,1.33,1739.98,392.63,
75.2,0.51,1.3,1739.98,396.65,
75.4,0.5,1.28,1759.53,397.15,
75.6,0.51,1.25,1759.53,405.09,
75.8,0.52,1.29,1749.76,402.32,
76,0.51,1.26,1739.98,402.93,
76.2,0.51,1.22,1749.76,409.52,
76.4,0.5,1.25,1759.53,401.39,
76.6,0.5,1.26,1739.98,399.25,
76.8,0.52,1.21,1749.76,415.52,
77,0.51,1.26,1769.31,402.93,
77.2,0.51,1.28,1759.53,400.81,
77.4,0.52,1.26,1749.76,406.58,
77.6,0.51,1.22,1759.53,409.52,
77.8,0.53,1.26,1769.31,410.19,
78,0.52,1.26,1749.76,406.58,
78.2,0.51,1.19,1759.53,414.1,
78.4,0.5,1.22,1759.53,405.78,
78.6,0.5,1.23,1730.21,403.57,
78.8,0.51,1.25,1749.76,405.09,
79,0.5,1.23,1749.76,403.57,
79.2,0.5,1.25,1759.53,401.39,
79.4,0.51,1.26,1749.76,402.93,
79.6,0.51,1.29,1759.53,398.71,
79.8,0.51,1.25,1759.53,405.09,
80,0.51,1.23,1749.76,407.29,
80.2,0.51,1.28,1730.21,400.81,
80.4,0.5,1.26,1749.76,399.25,
80.6,0.51,1.3,1759.53,396.65,
80.8,0.5,1.25,1759.53,401.39,
81,0.49,1.25,1749.76,397.66,
81.2,0.5,1.26,1739.98,399.25,
81.4,0.5,1.28,1730.21,397.15,
81.6,0.5,1.25,1759.53,401.39,
81.8,0.52,1.22,1759.53,413.23,
82,0.5,1.26,1749.76,399.25,
82.2,0.5,1.25,1759.53,401.39,
82.4,0.51,1.25,1759.53,405.09,
82.6,0.51,1.26,1739.98,402.93,
82.8,0.51,1.28,1739.98,400.81,
83,0.49,1.22,1749.76,402.01,
83.2,0.51,1.25,1749.76,405.09,
83.4,0.5,1.28,1730.21,397.15,
83.6,0.51,1.19,1759.53,414.1,
83.8,0.5,1.25,1739.98,401.39,
84,0.5,1.25,1759.53,401.39,
84.2,0.5,1.28,1749.76,397.15,
84.4,0.51,1.28,1749.76,400.81,
84.6,0.51,1.28,1749.76,400.81,
84.8,0.49,1.28,1749.76,393.45,
85,0.51,1.25,1749.76,405.09,
85.2,0.51,1.25,1739.98,405.09,
85.4,0.49,1.25,1730.21,397.66,
85.6,0.52,1.26,1749.76,406.58,
85.8,0.5,1.23,1739.98,403.57,
86,0.52,1.25,1759.53,408.76,
86.2,0.5,1.25,1749.76,401.39,
86.4,0.52,1.29,1759.53,402.32,
86.6,0.51,1.26,1769.31,402.93,
86.8,0.51,1.28,1749.76,400.81,
87,0.49,1.28,1759.53,393.45,
87.2,0.5,1.25,1749.76,401.39,
87.4,0.51,1.21,1769.31,411.79,
87.6,0.5,1.22,1759.53,405.78,
87.8,0.5,1.23,1739.98,403.57,
88,0.52,1.25,1749.76,408.76,
88.2,0.49,1.26,1769.31,395.54,
88.4,0.51,1.29,1759.53,398.71,
88.6,0.52,1.25,1759.53,408.76,
88.8,0.49,1.21,1759.53,404.23,
89,0.51,1.32,1759.53,394.62,
89.2,0.51,1.29,1739.98,398.71,
89.4,0.51,1.25,1749.76,405.09,
89.6,0.51,1.28,1749.76,400.81,
89.8,0.51,1.23,1730.21,407.29,
90,0.51,1.29,1730.21,398.71,
90.2,0.49,1.28,1749.76,393.45,
90.4,0.48,1.26,1759.53,391.79,
90.6,0.5,1.25,1739.98,401.39,
90.8,0.5,1.23,1730.21,403.57,
91,0.5,1.25,1759.53,401.39,
91.2,0.52,1.26,1759.53,406.58,
91.4,0.51,1.25,1769.31,405.09,
91.6,0.51,1.28,1759.53,400.81,
91.8,0.53,1.26,1759.53,410.19,
92,0.49,1.21,1759.53,404.23,
92.2,0.51,1.3,1759.53,396.65,
92.4,0.49,1.26,1749.76,395.54,
92.6,0.51,1.25,1759.53,405.09,
92.8,0.51,1.25,1749.76,405.09,
93,0.52,1.25,1769.31,408.76,
93.2,0.51,1.32,1739.98,394.62,
93.4,0.53,1.26,1749.76,410.19,
93.6,0.51,1.28,1749.76,400.81,
93.8,0.51,1.29,1749.76,398.71,
94,0.51,1.22,1759.53,409.52,
94.2,0.51,1.25,1759.53,405.09,
94.4,0.5,1.29,1749.76,395.07,
94.6,0.5,1.25,1739.98,401.39,
94.8,0.51,1.33,1730.21,392.63,
95,0.5,1.28,1749.76,397.15,
95.2,0.48,1.22,1739.98,398.2,
95.4,0.51,1.21,1749.76,411.79,
95.6,0.52,1.19,1769.31,417.84,
95.8,0.53,1.23,1739.98,414.63,
96,0.5,1.28,1749.76,397.15,
96.2,0.54,1.23,1759.53,418.25,
96.4,0.52,1.3,1749.76,400.24,
96.6,0.52,1.26,1749.76,406.58,
96.8,0.51,1.21,1759.53,411.79,
97,0.51,1.25,1759.53,405.09,
97.2,0.52,1.23,1759.53,410.98,
97.4,0.5,1.25,1730.21,401.39,
97.6,0.49,1.18,1749.76,408.8,
97.8,0.52,1.29,1759.53,402.32,
98,0.52,1.26,1759.53,406.58,
98.2,0.51,1.26,1769.31,402.93,
98.4,0.52,1.25,1779.08,408.76,
98.6,0.5,1.26,1739.98,399.25,
98.8,0.53,1.26,1749.76,410.19,
99,0.5,1.25,1749.76,401.39,
99.2,0.49,1.25,1749.76,397.66,
99.4,0.5,1.26,1739.98,399.25,
99.6,0.5,1.22,1749.76,405.78,
99.8,0.5,1.23,1759.53,403.57,
100,0.51,1.29,1739.98,398.71,
100.2,0.5,1.23,1749.76,403.57,
100.4,0.52,1.26,1730.21,406.58,
100.6,0.52,1.19,1759.53,417.84,
100.8,0.51,1.25,1739.98,405.09,
101,0.51,1.28,1759.53,400.81,
101.2,0.51,1.23,1749.76,407.29,
101.4,0.51,1.22,1739.98,409.52,
101.6,0.5,1.22,1749.76,405.78,
101.8,0.49,1.23,1739.98,399.82,
102,0.5,1.28,1749.76,397.15,
102.2,0.5,1.26,1759.53,399.25,
102.4,0.5,1.18,1759.53,412.64,
102.6,0.53,1.26,1769.31,410.19,
102.8,0.52,1.26,1769.31,406.58,
103,0.51,1.3,1759.53,396.65,
103.2,0.52,1.23,1769.31,410.98,
103.4,0.51,1.28,1749.76,400.81,
103.6,0.49,1.23,1749.76,399.82,
103.8,0.49,1.28,1739.98,393.45,
104,0.5,1.26,1739.98,399.25,
104.2,0.5,1.23,1739.98,403.57,
104.4,0.5,1.28,1769.31,397.15,
104.6,0.52,1.26,1749.76,406.58,
104.8,0.51,1.25,1759.53,405.09,
105,0.53,1.25,1749.76,412.39,
105.2,0.52,1.28,1739.98,404.43,
105.4,0.51,1.26,1769.31,402.93,
105.6,0.5,1.25,1749.76,401.39,
105.8,0.52,1.26,1759.53,406.58,
106,0.55,1.26,1749.76,417.33,
106.2,0.52,1.25,1759.53,408.76,
106.4,0.52,1.21,1739.98,415.52,
106.6,0.53,1.23,1759.53,414.63,
106.8,0.5,1.21,1749.76,408.03,
107,0.52,1.25,1779.08,408.76,
107.2,0.52,1.28,1769.31,404.43,
107.4,0.52,1.26,1749.76,406.58,
107.6,0.51,1.29,1749.76,398.71,
