# material: Micrometer_Test,,,,,
107.8,0.51,1.26,1730.21,402.93,
108,0.51,1.25,1749.76,405.09,
108.2,0.51,1.28,1749.76,400.81,
108.4,0.5,1.25,1739.98,401.39,
108.6,0.5,1.26,1759.53,399.25,
108.8,0.49,1.23,1749.76,399.82,
109,0.5,1.25,1730.21,401.39,
109.2,0.51,1.25,1779.08,405.09,
109.4,0.51,1.25,1759.53,405.09,
109.6,0.51,1.26,1759.53,402.93,
109.8,0.51,1.25,1749.76,405.09,
110,0.48,1.28,1749.76,389.72,
110.2,0.49,1.25,1749.76,397.66,
110.4,0.49,1.21,1749.76,404.23,
110.6,0.51,1.26,1769.31,402.93,
110.8,0.5,1.22,1749.76,405.78,
111,0.51,1.29,1759.53,398.71,
111.2,0.51,1.14,1759.53,423.73,
111.4,0.5,1.19,1739.98,410.32,
111.6,0.5,1.18,1759.53,412.64,
111.8,0.53,1.3,1759.53,403.8,
112,0.52,1.29,1759.53,402.32,
112.2,0.5,1.28,1749.76,397.15,
112.4,0.52,1.26,1769.31,406.58,
112.6,0.51,1.15,1769.31,421.26,
112.8,0.51,1.25,1739.98,405.09,
113,0.5,1.25,1759.53,401.39,
113.2,0.5,1.23,1739.98,403.57,
113.4,0.51,1.23,1739.98,407.29,
113.6,0.49,1.34,1749.76,383.49,
113.8,0.53,1.28,1759.53,408.03,
114,0.51,1.26,1759.53,402.93,
114.2,0.52,1.28,1749.76,404.43,
114.4,0.53,1.29,1749.76,405.9,
114.6,0.51,1.22,1769.31,409.52,
114.8,0.52,1.25,1779.08,408.76,
115,0.52,1.25,1749.76,408.76,
115.2,0.51,1.3,1749.76,396.65,
115.4,0.49,1.26,1730.21,395.54,
115.6,0.5,1.23,1788.86,403.57,
115.8,0.52,1.25,1749.76,408.76,
116,0.51,1.26,1759.53,402.93,
116.2,0.51,1.3,1749.76,396.65,
116.4,0.49,1.22,1759.53,402.01,
116.6,0.5,1.23,1749.76,403.57,
116.8,0.51,1.28,1749.76,400.81,
117,0.5,1.29,1759.53,395.07,
117.2,0.5,1.28,1730.21,397.15,
117.4,0.5,1.25,1739.98,401.39,
117.6,0.49,1.25,1720.43,397.66,
117.8,0.49,1.23,1769.31,399.82,
118,0.52,1.25,1759.53,408.76,
118.2,0.52,1.25,1759.53,408.76,
118.4,0.49,1.28,1730.21,393.45,
118.6,0.52,1.28,1759.53,404.43,
118.8,0.49,1.29,1769.31,391.4,
119,0.51,1.28,1759.53,400.81,
119.2,0.52,1.25,1759.53,408.76,
119.4,0.5,1.29,1769.31,395.07,
119.6,0.53,1.28,1749.76,408.03,
119.8,0.53,1.3,1739.98,403.8,
120,0.51,1.23,1739.98,407.29,
120.2,0.54,1.28,1749.76,411.59,
120.4,0.52,1.25,1759.53,408.76,
120.6,0.51,1.25,1759.53,405.09,
120.8,0.51,1.28,1759.53,400.81,
121,0.51,1.25,1769.31,405.09,
121.2,0.51,1.23,1739.98,407.29,
121.4,0.51,1.33,1749.76,392.63,
121.6,0.51,1.22,1749.76,409.52,
121.8,0.51,1.28,1759.53,400.81,
122,0.5,1.29,1739.98,395.07,
122.2,0.5,1.32,1739.98,391.02,
122.4,0.51,1.23,1720.43,407.29,
122.6,0.5,1.29,1749.76,395.07,
122.8,0.51,1.26,1739.98,402.93,
123,0.52,1.26,1769.31,406.58,
123.2,0.49,1.28,1749.76,393.45,
123.4,0.51,1.26,1749.76,402.93,
123.6,0.53,1.26,1749.76,410.19,
123.8,0.51,1.28,1739.98,400.81,
124,0.51,1.3,1749.76,396.65,
124.2,0.51,1.23,1759.53,407.29,
124.4,0.5,1.23,1759.53,403.57,
124.6,0.51,1.26,1730.21,402.93,
124.8,0.51,1.26,1739.98,402.93,
125,0.51,1.25,1779.08,405.09,
125.2,0.5,1.26,1739.98,399.25,
125.4,0.51,1.25,1739.98,405.09,
125.6,0.51,1.23,1759.53,407.29,
125.8,0.51,1.29,1749.76,398.71,
126,0.51,1.25,1749.76,405.09,
126.2,0.52,1.19,1769.31,417.84,
126.4,0.5,1.25,1759.53,401.39,
126.6,0.51,1.26,1779.08,402.93,
126.8,0.49,1.25,1739.98,397.66,
127,0.51,1.26,1749.76,402.93,
127.2,0.5,1.33,1749.76,389.04,
127.4,0.5,1.26,1749.76,399.25,
127.6,0.49,1.25,1730.21,397.66,
127.8,0.49,1.25,1759.53,397.66,
128,0.49,1.29,1759.53,391.4,
128.2,0.52,1.19,1739.98,417.84,
128.4,0.48,1.26,1730.21,391.79,
128.6,0.51,1.23,1759.53,407.29,
128.8,0.49,1.29,1749.76,391.4,
129,0.52,1.34,1759.53,394.19,
129.2,0.53,1.32,1739.98,401.74,
129.4,0.51,1.3,1749.76,396.65,
129.6,0.52,1.36,1739.98,392.24,
129.8,0.5,1.28,1759.53,397.15,
130,0.52,1.28,1759.53,404.43,
130.2,0.51,1.25,1749.76,405.09,
130.4,0.52,1.22,1749.76,413.23,
130.6,0.51,1.25,1749.76,405.09,
130.8,0.53,1.26,1749.76,410.19,
131,0.5,1.23,1749.76,403.57,
131.2,0.5,1.3,1749.76,393.03,
131.4,0.5,1.19,1769.31,410.32,
131.6,0.5,1.17,1759.53,415,
131.8,0.53,1.28,1749.76,408.03,
132,0.51,1.29,1749.76,398.71,
132.2,0.51,1.25,1749.76,405.09,
132.4,0.52,1.26,1749.76,406.58,
132.6,0.49,1.25,1739.98,397.66,
132.8,0.52,1.25,1749.76,408.76,
133,0.51,1.25,1759.53,405.09,
133.2,0.51,1.29,1749.76,398.71,
133.4,0.51,1.26,1759.53,402.93,
133.6,0.5,1.26,1759.53,399.25,
133.8,0.52,1.26,1720.43,406.58,
134,0.52,1.26,1749.76,406.58,
134.2,0.52,1.28,1749.76,404.43,
134.4,0.49,1.28,1739.98,393.45,
134.6,0.51,1.28,1730.21,400.81,
134.8,0.51,1.26,1749.76,402.93,
135,0.5,1.36,1749.76,385.17,
135.2,0.5,1.28,1720.43,397.15,
135.4,0.48,1.25,1759.53,393.89,
135.6,0.51,1.23,1759.53,407.29,
135.8,0.52,1.28,1730.21,404.43,
136,0.51,1.23,1759.53,407.29,
136.2,0.48,1.25,1739.98,393.89,
136.4,0.51,1.26,1749.76,402.93,
136.6,0.5,1.26,1749.76,399.25,
136.8,0.51,1.26,1749.76,402.93,
137,0.52,1.23,1769.31,410.98,
137.2,0.5,1.3,1749.76,393.03,
137.4,0.5,1.22,1759.53,405.78,
137.6,0.51,1.25,1739.98,405.09,
137.8,0.5,1.23,1739.98,403.57,
138,0.5,1.3,1739.98,393.03,
138.2,0.51,1.26,1739.98,402.93,
138.4,0.51,1.26,1739.98,402.93,
138.6,0.52,1.26,1759.53,406.58,
138.8,0.52,1.29,1759.53,402.32,
139,0.52,1.22,1749.76,413.23,
139.2,0.52,1.25,1749.76,408.76,
139.4,0.5,1.28,1759.53,397.15,
139.6,0.51,1.29,1739.98,398.71,
139.8,0.51,1.14,1749.76,423.73,
140,0.52,1.26,1769.31,406.58,
140.2,0.53,1.25,1730.21,412.39,
140.4,0.5,1.23,1759.53,403.57,
140.6,0.51,1.23,1749.76,407.29,
140.8,0.51,1.23,1730.21,407.29,
141,0.52,1.26,1739.98,406.58,
141.2,0.51,1.25,1720.43,405.09,
141.4,0.52,1.18,1759.53,420.21,
141.6,0.51,1.3,1749.76,396.65,
141.8,0.5,1.28,1749.76,397.15,
142,0.51,1.28,1739.98,400.81,
142.2,0.51,1.28,1730.21,400.81,
142.4,0.5,1.25,1769.31,401.39,
142.6,0.51,1.26,1759.53,402.93,
142.8,0.53,1.23,1739.98,414.63,
143,0.5,1.19,1749.76,410.32,
143.2,0.51,1.26,1739.98,402.93,
143.4,0.5,1.28,1739.98,397.15,
143.6,0.51,1.23,1749.76,407.29,
143.8,0.49,1.26,1759.53,395.54,
144,0.51,1.28,1739.98,400.81,
144.2,0.51,1.26,1749.76,402.93,
144.4,0.52,1.26,1759.53,406.58,
144.6,0.5,1.26,1759.53,399.25,
144.8,0.49,1.23,1749.76,399.82,
145,0.5,1.26,1749.76,399.25,
145.2,0.49,1.21,1759.53,404.23,
145.4,0.51,1.25,1749.76,405.09,
145.6,0.5,1.22,1769.31,405.78,
145.8,0.5,1.29,1739.98,395.07,
146,0.5,1.25,1749.76,401.39,
146.2,0.5,1.23,1759.53,403.57,
146.4,0.52,1.25,1788.86,408.76,
146.6,0.53,1.26,1769.31,410.19,
146.8,0.51,1.28,1749.76,400.81,
147,0.49,1.28,1759.53,393.45,
147.2,0.52,1.23,1759.53,410.98,
147.4,0.5,1.26,1749.76,399.25,
147.6,0.51,1.34,1749.76,390.66,
147.8,0.51,1.3,1739.98,396.65,
148,0.5,1.28,1749.76,397.15,
148.2,0.5,1.26,1720.43,399.25,
148.4,0.52,1.26,1759.53,406.58,
148.6,0.5,1.23,1749.76,403.57,
148.8,0.52,1.25,1739.98,408.76,
149,0.51,1.25,1749.76,405.09,
149.2,0.51,1.32,1749.76,394.62,
149.4,0.51,1.25,1749.76,405.09,
149.6,0.51,1.33,1749.76,392.63,
149.8,0.51,1.26,1759.53,402.93,
150,0.51,1.33,1749.76,392.63,
150.2,0.51,1.26,1769.31,402.93,
150.4,0.51,1.23,1739.98,407.29,
150.6,0.51,1.26,1759.53,402.93,
150.8,0.51,1.29,1749.76,398.71,
151,0.5,1.28,1759.53,397.15,
151.2,0.5,1.22,1759.53,405.78,
151.4,0.5,1.25,1769.31,401.39,
151.6,0.5,1.25,1749.76,401.39,
151.8,0.52,1.25,1739.98,408.76,
152,0.51,1.26,1749.76,402.93,
152.2,0.52,1.23,1759.53,410.98,
152.4,0.51,1.23,1769.31,407.29,
152.6,0.51,1.28,1749.76,400.81,
152.8,0.51,1.28,1749.76,400.81,
153,0.5,1.28,1759.53,397.15,
153.2,0.51,1.28,1769.31,400.81,
153.4,0.51,1.29,1730.21,398.71,
153.6,0.5,1.26,1749.76,399.25,
153.8,0.51,1.33,1739.98,392.63,
154,0.52,1.23,1730.21,410.98,
154.2,0.49,1.25,1759.53,397.66,
154.4,0.52,1.23,1739.98,410.98,
154.6,0.51,1.19,1749.76,414.1,
154.8,0.52,1.25,1749.76,408.76,
155,0.5,1.21,1739.98,408.03,
155.2,0.52,1.28,1769.31,404.43,
155.4,0.51,1.26,1749.76,402.93,
155.6,0.53,1.28,1749.76,408.03,
155.8,0.5,1.25,1739.98,401.39,
156,0.48,1.28,1749.76,389.72,
156.2,0.51,1.25,1759.53,405.09,
156.4,0.5,1.25,1749.76,401.39,
156.6,0.53,1.26,1759.53,410.19,
156.8,0.51,1.25,1749.76,405.09,
157,0.49,1.23,1730.21,399.82,
157.2,0.51,1.26,1739.98,402.93,
157.4,0.51,1.21,1759.53,411.79,
157.6,0.52,1.26,1769.31,406.58,
157.8,0.53,1.29,1739.98,405.9,
158,0.49,1.26,1739.98,395.54,
158.2,0.51,1.36,1749.76,388.72,
158.4,0.52,1.28,1769.31,404.43,
158.6,0.51,1.28,1739.98,400.81,
158.8,0.51,1.3,1739.98,396.65,
159,0.51,1.25,1749.76,405.09,
159.2,0.51,1.15,1739.98,421.26,
159.4,0.5,1.3,1749.76,393.03,
159.6,0.5,1.28,1769.31,397.15,
159.8,0.5,1.23,1759.53,403.57,
160,0.52,1.25,1769.31,408.76,
160.2,0.49,1.26,1739.98,395.54,
160.4,0.5,1.21,1739.98,408.03,
160.6,0.5,1.23,1749.76,403.57,
160.8,0.51,1.28,1759.53,400.81,
161,0.51,1.26,1759.53,402.93,
161.2,0.51,1.26,1739.98,402.93,
161.4,0.52,1.22,1749.76,413.23,
161.6,0.51,1.25,1749.76,405.09,
161.8,0.52,1.25,1759.53,408.76,
162,0.5,1.21,1749.76,408.03,
162.2,0.51,1.23,1759.53,407.29,
162.4,0.5,1.25,1759.53,401.39,
162.6,0.5,1.25,1769.31,401.39,
162.8,0.51,1.23,1759.53,407.29,
163,0.5,1.26,1730.21,399.25,
163.2,0.49,1.23,1739.98,399.82,
163.4,0.52,1.3,1769.31,400.24,
163.6,0.51,1.28,1739.98,400.81,
163.8,0.51,1.21,1759.53,411.79,
164,0.51,1.25,1739.98,405.09,
164.2,0.52,1.3,1749.76,400.24,
164.4,0.51,1.3,1759.53,396.65,
164.6,0.51,1.26,1739.98,402.93,
164.8,0.5,1.26,1730.21,399.25,
165,0.51,1.28,1739.98,400.81,
165.2,0.5,1.25,1730.21,401.39,
165.4,0.5,1.29,1759.53,395.07,
165.6,0.5,1.26,1759.53,399.25,
165.8,0.52,1.25,1759.53,408.76,
166,0.53,1.22,1749.76,416.9,
166.2,0.52,1.26,1749.76,406.58,
166.4,0.5,1.28,1720.43,397.15,
166.6,0.53,1.29,1759.53,405.9,
166.8,0.51,1.26,1759.53,402.93,
167,0.51,1.26,1749.76,402.93,
167.2,0.51,1.26,1730.21,402.93,
167.4,0.51,1.28,1759.53,400.81,
167.6,0.51,1.26,1739.98,402.93,
167.8,0.51,1.3,1739.98,396.65,
168,0.5,1.28,1730.21,397.15,
168.2,0.5,1.23,1759.53,403.57,
168.4,0.5,1.25,1749.76,401.39,
168.6,0.52,1.25,1788.86,408.76,
168.8,0.54,1.26,1749.76,413.78,
169,0.51,1.28,1759.53,400.81,
169.2,0.49,1.26,1759.53,395.54,
169.4,0.51,1.26,1759.53,402.93,
169.6,0.5,1.28,1749.76,397.15,
169.8,0.51,1.22,1749.76,409.52,
170,0.5,1.25,1759.53,401.39,
170.2,0.51,1.22,1739.98,409.52,
170.4,0.49,1.28,1739.98,393.45,
170.6,0.47,1.25,1759.53,390.09,
170.8,0.52,1.23,1749.76,410.98,
171,0.5,1.25,1739.98,401.39,
171.2,0.52,1.26,1739.98,406.58,
171.4,0.5,1.28,1739.98,397.15,
171.6,0.51,1.26,1759.53,402.93,
171.8,0.51,1.25,1759.53,405.09,
172,0.51,1.28,1759.53,400.81,
172.2,0.51,1.23,1759.53,407.29,
172.4,0.51,1.28,1730.21,400.81,
172.6,0.51,1.22,1739.98,409.52,
172.8,0.49,1.28,1759.53,393.45,
173,0.51,1.25,1759.53,405.09,
173.2,0.51,1.23,1749.76,407.29,
173.4,0.51,1.33,1749.76,392.63,
173.6,0.51,1.25,1759.53,405.09,
173.8,0.51,1.19,1739.98,414.1,
174,0.5,1.25,1730.21,401.39,
174.2,0.5,1.25,1769.31,401.39,
174.4,0.51,1.23,1749.76,407.29,
174.6,0.52,1.26,1749.76,406.58,
174.8,0.51,1.26,1759.53,402.93,
175,0.51,1.26,1739.98,402.93,
175.2,0.52,1.26,1759.53,406.58,
175.4,0.49,1.28,1739.98,393.45,
175.6,0.52,1.26,1759.53,406.58,
175.8,0.51,1.28,1739.98,400.81,
176,0.49,1.25,1739.98,397.66,
176.2,0.5,1.33,1759.53,389.04,
176.4,0.51,1.23,1739.98,407.29,
176.6,0.53,1.26,1739.98,410.19,
176.8,0.5,1.28,1730.21,397.15,
177,0.52,1.29,1749.76,402.32,
177.2,0.52,1.25,1759.53,408.76,
177.4,0.51,1.28,1730.21,400.81,
177.6,0.51,1.36,1759.53,388.72,
177.8,0.53,1.29,1759.53,405.9,
178,0.53,1.25,1769.31,412.39,
178.2,0.51,1.22,1759.53,409.52,
178.4,0.5,1.26,1730.21,399.25,
178.6,0.5,1.25,1739.98,401.39,
178.8,0.5,1.23,1749.76,403.57,
179,0.5,1.29,1749.76,395.07,
179.2,0.5,1.29,1769.31,395.07,
179.4,0.53,1.23,1759.53,414.63,
179.6,0.54,1.28,1749.76,411.59,
179.8,0.5,1.26,1730.21,399.25,
180,0.52,1.33,1749.76,396.18,
180.2,0.51,1.26,1769.31,402.93,
180.4,0.51,1.26,1759.53,402.93,
180.6,0.5,1.34,1759.53,387.09,
180.8,0.51,1.26,1749.76,402.93,
181,0.5,1.26,1749.76,399.25,
181.2,0.5,1.33,1749.76,389.04,
181.4,0.49,1.22,1749.76,402.01,
181.6,0.51,1.25,1769.31,405.09,
181.8,0.52,1.26,1749.76,406.58,
182,0.52,1.32,1759.53,398.2,
182.2,0.5,1.23,1720.43,403.57,
182.4,0.53,1.3,1749.76,403.8,
182.6,0.51,1.22,1749.76,409.52,
182.8,0.51,1.22,1749.76,409.52,
183,0.5,1.21,1759.53,408.03,
183.2,0.52,1.28,1759.53,404.43,
183.4,0.51,1.28,1739.98,400.81,
183.6,0.52,1.26,1759.53,406.58,
183.8,0.52,1.25,1759.53,408.76,
184,0.5,1.28,1730.21,397.15,
184.2,0.5,1.29,1749.76,395.07,
184.4,0.5,1.23,1759.53,403.57,
184.6,0.5,1.23,1779.08,403.57,
184.8,0.49,1.22,1759.53,402.01,
185,0.5,1.28,1739.98,397.15,
185.2,0.51,1.25,1739.98,405.09,
185.4,0.51,1.21,1749.76,411.79,
185.6,0.52,1.28,1739.98,404.43,
185.8,0.51,1.25,1759.53,405.09,
186,0.51,1.22,1720.43,409.52,
186.2,0.51,1.28,1749.76,400.81,
186.4,0.53,1.28,1749.76,408.03,
186.6,0.5,1.25,1749.76,401.39,
186.8,0.5,1.23,1769.31,403.57,
187,0.5,1.25,1749.76,401.39,
187.2,0.5,1.23,1739.98,403.57,
187.4,0.49,1.29,1739.98,391.4,
187.6,0.5,1.23,1739.98,403.57,
187.8,0.51,1.18,1759.53,416.44,
188,0.52,1.25,1739.98,408.76,
188.2,0.52,1.28,1739.98,404.43,
188.4,0.51,1.26,1749.76,402.93,
188.6,0.53,1.25,1769.31,412.39,
188.8,0.52,1.36,1759.53,392.24,
189,0.52,1.26,1759.53,406.58,
189.2,0.51,1.29,1749.76,398.71,
189.4,0.51,1.25,1739.98,405.09,
189.6,0.5,1.33,1759.53,389.04,
189.8,0.52,1.25,1749.76,408.76,
190,0.5,1.25,1749.76,401.39,
190.2,0.5,1.23,1769.31,403.57,
190.4,0.52,1.26,1779.08,406.58,
190.6,0.53,1.28,1769.31,408.03,
190.8,0.51,1.23,1749.76,407.29,
191,0.5,1.26,1759.53,399.25,
191.2,0.51,1.25,1759.53,405.09,
191.4,0.49,1.17,1749.76,411.14,
191.6,0.49,1.28,1739.98,393.45,
191.8,0.5,1.28,1749.76,397.15,
192,0.51,1.23,1749.76,407.29,
192.2,0.51,1.25,1739.98,405.09,
192.4,0.51,1.26,1749.76,402.93,
192.6,0.5,1.26,1739.98,399.25,
192.8,0.51,1.26,1779.08,402.93,
193,0.52,1.23,1739.98,410.98,
193.2,0.52,1.23,1759.53,410.98,
193.4,0.53,1.26,1749.76,410.19,
193.6,0.51,1.25,1749.76,405.09,
193.8,0.51,1.26,1759.53,402.93,
194,0.51,1.3,1759.53,396.65,
194.2,0.5,1.28,1759.53,397.15,
194.4,0.48,1.28,1759.53,389.72,
194.6,0.5,1.23,1769.31,403.57,
194.8,0.53,1.25,1769.31,412.39,
195,0.52,1.22,1759.53,413.23,
195.2,0.5,1.23,1749.76,403.57,
195.4,0.48,1.25,1749.76,393.89,
195.6,0.51,1.23,1749.76,407.29,
195.8,0.51,1.26,1730.21,402.93,
196,0.5,1.25,1739.98,401.39,
196.2,0.5,1.23,1749.76,403.57,
196.4,0.52,1.26,1759.53,406.58,
196.6,0.51,1.33,1759.53,392.63,
196.8,0.5,1.21,1759.53,408.03,
197,0.52,1.26,1779.08,406.58,
197.2,0.49,1.26,1739.98,395.54,
197.4,0.52,1.25,1759.53,408.76,
197.6,0.5,1.23,1759.53,403.57,
197.8,0.49,1.25,1759.53,397.66,
198,0.52,1.23,1749.76,410.98,
198.2,0.5,1.23,1759.53,403.57,
198.4,0.51,1.3,1759.53,396.65,
198.6,0.52,1.29,1739.98,402.32,
198.8,0.51,1.26,1720.43,402.93,
199,0.51,1.25,1769.31,405.09,
199.2,0.53,1.22,1749.76,416.9,
199.4,0.53,1.25,1749.76,412.39,
199.6,0.5,1.32,1730.21,391.02,
199.8,0.51,1.25,1749.76,405.09,
200,0.53,1.22,1759.53,416.9,
200.2,0.52,1.26,1769.31,406.58,
200.4,0.52,1.33,1759.53,396.18,
200.6,0.51,1.29,1749.76,398.71,
200.8,0.49,1.28,1759.53,393.45,
201,0.5,1.21,1749.76,408.03,
201.2,0.5,1.26,1739.98,399.25,
201.4,0.5,1.25,1720.43,401.39,
201.6,0.5,1.26,1779.08,399.25,
201.8,0.5,1.26,1730.21,399.25,
202,0.51,1.29,1739.98,398.71,
202.2,0.52,1.18,1749.76,420.21,
202.4,0.51,1.23,1739.98,407.29,
202.6,0.51,1.26,1779.08,402.93,
202.8,0.52,1.28,1749.76,404.43,
203,0.51,1.21,1759.53,411.79,
203.2,0.52,1.25,1769.31,408.76,
203.4,0.52,1.23,1749.76,410.98,
203.6,0.52,1.26,1730.21,406.58,
203.8,0.5,1.29,1730.21,395.07,
204,0.51,1.25,1769.31,405.09,
204.2,0.5,1.22,1759.53,405.78,
204.4,0.5,1.22,1749.76,405.78,
204.6,0.49,1.28,1739.98,393.45,
204.8,0.48,1.23,1759.53,396.03,
205,0.52,1.23,1759.53,410.98,
205.2,0.52,1.29,1749.76,402.32,
205.4,0.5,1.23,1739.98,403.57,
205.6,0.52,1.21,1739.98,415.52,
205.8,0.51,1.25,1739.98,405.09,
206,0.53,1.32,1749.76,401.74,
206.2,0.52,1.26,1769.31,406.58,
206.4,0.52,1.25,1749.76,408.76,
206.6,0.5,1.26,1749.76,399.25,
206.8,0.5,1.23,1759.53,403.57,
207,0.51,1.26,1739.98,402.93,
207.2,0.5,1.19,1759.53,410.32,
207.4,0.51,1.28,1759.53,400.81,
207.6,0.5,1.29,1739.98,395.07,
207.8,0.52,1.28,1739.98,404.43,
208,0.52,1.25,1759.53,408.76,
208.2,0.5,1.19,1749.76,410.32,
208.4,0.51,1.25,1739.98,405.09,
208.6,0.5,1.23,1739.98,403.57,
208.8,0.51,1.26,1769.31,402.93,
209,0.49,1.28,1749.76,393.45,
209.2,0.51,1.33,1739.98,392.63,
209.4,0.5,1.25,1749.76,401.39,
209.6,0.5,1.29,1739.98,395.07,
209.8,0.51,1.26,1769.31,402.93,
210,0.48,1.28,1739.98,389.72,
210.2,0.5,1.28,1730.21,397.15,
210.4,0.51,1.23,1739.98,407.29,
210.6,0.51,1.26,1739.98,402.93,
210.8,0.52,1.28,1739.98,404.43,
211,0.5,1.26,1749.76,399.25,
211.2,0.51,1.25,1739.98,405.09,
211.4,0.51,1.26,1749.76,402.93,
211.6,0.51,1.29,1759.53,398.71,
211.8,0.52,1.29,1749.76,402.32,
212,0.51,1.3,1739.98,396.65,
212.2,0.53,1.25,1759.53,412.39,
212.4,0.53,1.28,1749.76,408.03,
212.6,0.51,1.23,1769.31,407.29,
212.8,0.51,1.25,1749.76,405.09,
213,0.51,1.28,1759.53,400.81,
213.2,0.53,1.25,1769.31,412.39,
213.4,0.5,1.19,1749.76,410.32,
213.6,0.55,1.26,1749.76,417.33,
213.8,0.51,1.29,1739.98,398.71,
214,0.55,1.29,1749.76,412.96,
214.2,0.51,1.25,1749.76,405.09,
214.4,0.5,1.26,1739.98,399.25,
